epoch,batch,global_step,d_loss,d_acc,g_loss,g_adv,g_recon,g_id
0,0,0,2.9731371,320.8572,19.825207,1.0720682,0.6740422,0.6740422
0,1,1,2.0177293,218.80817,17.794704,0.97278893,0.62417513,0.62417513
0,2,2,1.7851615,203.98895,16.725727,0.99535847,0.5827982,0.5827982
0,3,3,1.6358829,174.91765,15.814487,0.90623003,0.5517956,0.5517956
0,4,4,1.4230478,151.14224,15.119361,0.8474242,0.53407496,0.53407496
0,5,5,1.278872,136.83763,14.536133,0.800629,0.515694,0.515694
0,6,6,1.1618347,123.61877,14.224636,0.7613056,0.4942435,0.4942435
0,7,7,1.0840924,113.600746,13.857357,0.7241556,0.48197845,0.48197845
0,8,8,1.011087,106.00145,13.423861,0.69227344,0.4659571,0.4659571
0,9,9,0.956705,101.21088,13.053138,0.6632783,0.45033017,0.45033017
0,10,10,0.90981543,96.362495,12.776031,0.63258946,0.4401068,0.4401068
0,11,11,0.86812574,91.59283,12.501736,0.61236066,0.4298857,0.4298857
0,12,12,0.83793986,87.94583,12.309461,0.59268296,0.424418,0.424418
0,13,13,0.814113,85.36315,12.074972,0.5805547,0.41570652,0.41570652
0,14,14,0.786931,82.679726,11.865694,0.5694826,0.40755117,0.40755117
0,15,15,0.7658216,80.33403,11.698276,0.5655872,0.39912635,0.39912635
0,16,16,0.74838376,78.465805,11.547398,0.5559504,0.39548662,0.39548662
0,17,17,0.7366438,76.64509,11.391759,0.550157,0.388909,0.388909
0,18,18,0.72345126,75.05305,11.253874,0.5424308,0.38399932,0.38399932
0,19,19,0.70765334,73.45505,11.117515,0.5386383,0.3790141,0.3790141
0,20,20,0.69495296,72.14767,11.029406,0.5333133,0.37655318,0.37655318
0,21,21,0.68203646,70.7142,10.928069,0.52868295,0.3720066,0.3720066
0,22,22,0.67199564,69.32451,10.819924,0.5269106,0.36835873,0.36835873
0,23,23,0.6649437,68.509125,10.729567,0.5264656,0.36486456,0.36486456
0,24,24,0.6560043,67.83999,10.637484,0.52267617,0.36117688,0.36117688
0,25,25,0.6474874,66.94334,10.532572,0.5212075,0.35778788,0.35778788
0,26,26,0.638292,65.9147,10.463282,0.5202807,0.35557058,0.35557058
0,27,27,0.6310768,64.90669,10.386845,0.5193524,0.35265574,0.35265574
0,28,28,0.6228483,63.9948,10.304695,0.5171043,0.34998253,0.34998253
0,29,29,0.616415,63.22295,10.211016,0.516627,0.34631193,0.34631193
0,30,30,0.60860884,62.488663,10.135332,0.5141907,0.34415743,0.34415743
0,31,31,0.60162914,61.82816,10.090983,0.5112418,0.34229326,0.34229326
0,32,32,0.59557307,61.21081,10.072468,0.50683177,0.34101394,0.34101394
0,33,33,0.59038734,60.817574,10.01452,0.50821304,0.33913392,0.33913392
0,34,34,0.58714217,60.47468,9.947168,0.50646096,0.336059,0.336059
0,35,35,0.58301246,59.925926,9.880627,0.5056097,0.33342814,0.33342814
0,36,36,0.57904273,59.420406,9.833411,0.5047625,0.33118293,0.33118293
0,37,37,0.5741793,58.99798,9.802851,0.5028107,0.32943532,0.32943532
0,38,38,0.569312,58.453022,9.75404,0.5019891,0.32805112,0.32805112
0,39,39,0.56466234,57.995422,9.714294,0.49974138,0.32702768,0.32702768
0,40,40,0.5609732,57.70645,9.6748705,0.49625129,0.32537833,0.32537833
0,41,41,0.5568551,57.260906,9.640825,0.4933835,0.32476377,0.32476377
0,42,42,0.5527774,56.867428,9.589741,0.49299467,0.3228506,0.3228506
0,43,43,0.5488064,56.43938,9.542396,0.4935009,0.32092345,0.32092345
0,44,44,0.5445504,56.06667,9.509016,0.4937829,0.3197464,0.3197464
0,45,45,0.54137486,55.664444,9.462893,0.49475998,0.31832716,0.31832716
0,46,46,0.5393237,55.605114,9.427852,0.49574542,0.3167682,0.3167682
0,47,47,0.5362851,55.346107,9.38659,0.497455,0.31555593,0.31555593
0,48,48,0.5324807,55.042774,9.351865,0.4960639,0.3141974,0.3141974
0,49,49,0.52918434,54.79541,9.308114,0.49418035,0.3127938,0.3127938
0,50,50,0.5269904,54.54973,9.262364,0.4934307,0.31129956,0.31129956
0,51,51,0.5233687,54.185425,9.219493,0.49315503,0.31002834,0.31002834
0,52,52,0.5199075,53.87854,9.179427,0.493086,0.30868787,0.30868787
0,53,53,0.5162251,53.53949,9.135044,0.4908682,0.3075624,0.3075624
0,54,54,0.513455,53.259415,9.109483,0.49165213,0.30654687,0.30654687
0,55,55,0.5111507,53.048683,9.074776,0.4897647,0.3058495,0.3058495
0,56,56,0.50832874,52.79163,9.038765,0.4886587,0.30459836,0.30459836
0,57,57,0.50563496,52.566742,9.009329,0.4885167,0.3031692,0.3031692
0,58,58,0.5026498,52.35796,8.976144,0.4877015,0.30190587,0.30190587
0,59,59,0.49976057,52.15614,8.948208,0.48622793,0.30127504,0.30127504
0,60,60,0.49659985,51.914055,8.922457,0.4855352,0.30040088,0.30040088
0,61,61,0.49414372,51.689075,8.900444,0.4859916,0.29981524,0.29981524
1,0,62,0.4912957,51.46544,8.8740835,0.48600325,0.2985502,0.2985502
1,1,63,0.48928013,51.2722,8.848942,0.4861442,0.29765257,0.29765257
1,2,64,0.48658168,51.04064,8.821125,0.4859797,0.29670632,0.29670632
1,3,65,0.4839797,50.791348,8.802518,0.48794076,0.29539374,0.29539374
1,4,66,0.48116982,50.530838,8.776409,0.4870899,0.29471648,0.29471648
1,5,67,0.47858256,50.33896,8.748422,0.4863144,0.293879,0.293879
1,6,68,0.4763927,50.15605,8.729251,0.48549885,0.29275686,0.29275686
1,7,69,0.47415978,49.891407,8.703548,0.48488247,0.29178256,0.29178256
1,8,70,0.4723314,49.678574,8.675943,0.48282757,0.29094896,0.29094896
1,9,71,0.46978983,49.424297,8.656829,0.48234886,0.29012215,0.29012215
1,10,72,0.46728206,49.12046,8.632691,0.4826077,0.28946793,0.28946793
1,11,73,0.46493104,48.881607,8.607892,0.48326862,0.28893927,0.28893927
1,12,74,0.4626068,48.70075,8.582743,0.48347986,0.28799567,0.28799567
1,13,75,0.46060658,48.499508,8.563864,0.48259398,0.28767216,0.28767216
1,14,76,0.4583033,48.32145,8.545305,0.48141268,0.28710982,0.28710982
1,15,77,0.45592135,48.105885,8.52921,0.48027417,0.28666863,0.28666863
1,16,78,0.45323685,47.851055,8.501491,0.47971648,0.28591505,0.28591505
1,17,79,0.45067596,47.5773,8.47433,0.47881538,0.285009,0.285009
1,18,80,0.44806623,47.36459,8.4558735,0.4778293,0.2841178,0.2841178
1,19,81,0.44571173,47.14747,8.426212,0.47742516,0.28309333,0.28309333
1,20,82,0.44345254,46.94201,8.4069605,0.4769718,0.28245738,0.28245738
1,21,83,0.4415978,46.78442,8.392055,0.4759503,0.28192127,0.28192127
1,22,84,0.43909943,46.56487,8.378624,0.47544318,0.28142595,0.28142595
1,23,85,0.43738094,46.398384,8.370405,0.47648865,0.281271,0.281271
1,24,86,0.43555406,46.225887,8.347328,0.4762043,0.28043434,0.28043434
1,25,87,0.4336611,46.061634,8.340888,0.47612798,0.280049,0.280049
1,26,88,0.43143523,45.8539,8.3151245,0.47457823,0.27914473,0.27914473
1,27,89,0.42910337,45.655872,8.299651,0.47519398,0.27858427,0.27858427
1,28,90,0.42689675,45.441765,8.278861,0.47386232,0.27822006,0.27822006
1,29,91,0.42504108,45.24185,8.258253,0.4735659,0.27730823,0.27730823
1,30,92,0.42278898,45.02834,8.239304,0.47243425,0.27666795,0.27666795
1,31,93,0.4208352,44.865723,8.218967,0.4716435,0.2759503,0.2759503
1,32,94,0.41890642,44.6734,8.197909,0.47003505,0.2751734,0.2751734
1,33,95,0.41692483,44.52037,8.17488,0.4691193,0.27446496,0.27446496
1,34,96,0.41472864,44.31689,8.158061,0.4671536,0.27407503,0.27407503
1,35,97,0.41302592,44.18686,8.139628,0.46586952,0.273699,0.273699
1,36,98,0.4110349,44.00581,8.118306,0.4645198,0.27295986,0.27295986
1,37,99,0.40923703,43.83922,8.1043825,0.46430498,0.2725721,0.2725721
1,38,100,0.40724435,43.663498,8.092704,0.4630978,0.27190974,0.27190974
1,39,101,0.40551224,43.46752,8.082524,0.4630022,0.2714881,0.2714881
1,40,102,0.40373006,43.290634,8.068869,0.46348605,0.27101323,0.27101323
1,41,103,0.40178955,43.085926,8.050792,0.46224666,0.27044508,0.27044508
1,42,104,0.40018794,42.920864,8.029807,0.4597215,0.26988554,0.26988554
1,43,105,0.39835525,42.749508,8.015076,0.4604714,0.26953608,0.26953608
1,44,106,0.39619246,42.526413,7.995542,0.45952302,0.2689928,0.2689928
1,45,107,0.3944224,42.365765,7.9781036,0.4584652,0.26833412,0.26833412
1,46,108,0.3923537,42.173653,7.9610734,0.4569515,0.26785493,0.26785493
1,47,109,0.3907191,42.021305,7.9492846,0.45623398,0.2673526,0.2673526
1,48,110,0.38892275,41.84587,7.9325333,0.45534366,0.26661435,0.26661435
1,49,111,0.38701808,41.64758,7.921968,0.4557276,0.26623714,0.26623714
1,50,112,0.38527054,41.458786,7.910267,0.45570785,0.26596037,0.26596037
